Qty,Value,Parts,Description,PARTNO,Comments,ExtDescription
2,B3F-1000,"S1, S2","Omron pushbutton switch, SPST, through-hole",B3F-1000,,"Omron pushbutton switch, SPST, through-hole (S1, S2)"
4,"0.1"" SOCK-HD 1X6","JP1, JP2, JP3, JP4","Pin Socket Header, 1x6",61300611821,,"Pin Socket Header, 1x6 (JP1, JP2, JP3, JP4)"
1,"0.1"" PIN-HD 1X3",J12,"Pin Header, 1x3",G800WC305018EU,"Generic part; use any generic 0.1"" pin strip, 3-position or breakaway/cut-to-length type","Pin Header, 1x3 (J12)"
4,"0.1"" SOCK-HD 1X20","PICO1, PICO2","Socket Header, 20 position, 2.54mm pitch",61302011821,,"Socket Header, 20 position, 2.54mm pitch (PICO1, PICO2)"
2,Pico-H,"PICO1, PICO2",Raspberry Pi Pico w/pin headers installed,SC0917,,"Raspberry Pi Pico w/pin headers installed (PICO1, PICO2)"
4,MTA100-10PIN,"J5, J6, J7, J8",10 way MTA100 straight friction lock header,1-640456-0,,"10 way MTA100 straight friction lock header (J5, J6, J7, J8)"
4,MTA100-10PIN-24AWG,"PLUG_J5, PLUG_J6, PLUG_J7, PLUG_J8","Plug for J5 J6 J7 J8, 10p IDC housing 24 AWG",4-644563-0,,"Plug for J5 J6 J7 J8, 10p IDC housing 24 AWG (PLUG_J5, PLUG_J6, PLUG_J7, PLUG_J8)"
1,100R,R9,"Resistor, 100 Ohm, axial, 2mm 4 xmm",MFR-12FTE52-100R,,"Resistor, 100 Ohm, axial, 2mm 4 xmm (R9)"
11,100nF,"C1, C3, C5, C7, C9, C10, C11, C13, C15, C18, C19","Capacitor, ceramic, 0.1uF, radial, 2.5mm lead pitch",K104K15X7RF5TL2,,"Capacitor, ceramic, 0.1uF, radial, 2.5mm lead pitch (C1, C3, C5, C7, C9, C10, C11, C13, C15, C18, C19)"
4,10K,"R12, R13, R20, R22","Resistor, 10K, axial, 2mm x 4mm",MFR-12FRF52-10K,,"Resistor, 10K, axial, 2mm x 4mm (R12, R13, R20, R22)"
2,10R,"R10, R11","Resistor, 10 Ohm, axial, 2mm 4 xmm",MFR25SFTE52-10R,,"Resistor, 10 Ohm, axial, 2mm 4 xmm (R10, R11)"
2,15K,"R29, R30","Resistor, 15K, axial, 2mm x 4mm",MFR25SFRF52-15K,,"Resistor, 15K, axial, 2mm x 4mm (R29, R30)"
1,1K,R26,"Resistor, 1K, axial, 2mm x 4mm",MF0204FTE52-1K,,"Resistor, 1K, axial, 2mm x 4mm (R26)"
2,1N4148,"D3, D4","Diode, 1N4148, axial",1N4148-T50A,,"Diode, 1N4148, axial (D3, D4)"
1,2.2k,R33,"Resistor, 2.2K, axial, 2mm x 4mm",MF0204FTE52-2K2,,"Resistor, 2.2K, axial, 2mm x 4mm (R33)"
1,MICROMATCH-4PIN,J10,"Connector, Micro-MaTch female-on-board, 4 pin, top entry",215079-4,,"Connector, Micro-MaTch female-on-board, 4 pin, top entry (J10)"
1,MICROMATCH-4PIN,PLUG_J10,"Plug for J10, Micro-MaTch male-on-wire, 4 pin, IDC",215083-4,,"Plug for J10, Micro-MaTch male-on-wire, 4 pin, IDC (PLUG_J10)"
1,22K,R28,"Resistor, 22K, axial, 2mm 4 xmm",MFR-12FTF52-22K,,"Resistor, 22K, axial, 2mm 4 xmm (R28)"
1,240R,R18,"Resistor, 240 Ohm, axial, 2mm 4 4mm",MFR25SFTF52-240R,,"Resistor, 240 Ohm, axial, 2mm 4 4mm (R18)"
1,2N2222A,Q16,"NPN transistor, 2N2222A, TO-92, 40V, 600mA",637-2N2222A,,"NPN transistor, 2N2222A, TO-92, 40V, 600mA (Q16)"
1,2N5195G,Q15,"PNP transistor, 2N5195G, TO-225-3, 80V, 4A",2N5195G,,"PNP transistor, 2N5195G, TO-225-3, 80V, 4A (Q15)"
